city,Latitude,Longitude,Country,ID
Zhongshan,22.517,113.3925,China,268
Minneapolis,44.9635,-93.2678,United States,269
Tampa,27.9945,-82.4447,United States,270
Putian,25.4526,119.0078,China,271
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),272
Tongliao,43.654,122.243,China,273
Chaoyang,41.571,120.453,China,274
Hohhot,40.842,111.749,China,275
Pyongyang,39.0167,125.7475,"Korea, North",276
Shaoguan,24.811,113.597,China,277
Taichung,24.1439,120.6794,Taiwan,278
Cali,3.4206,-76.5222,Colombia,279
Heyuan,23.7443,114.7002,China,280
Wuzhou,23.4767,111.279,China,281
Pretoria,-25.7461,28.1881,South Africa,282
Suining,30.533,105.593,China,283
Omdurman,15.6835,32.4629,Sudan,284
Weihai,37.5133,122.1205,China,285
Rizhao,35.417,119.527,China,286
Malang,-7.98,112.62,Indonesia,287
Stuttgart,48.7775,9.18,Germany,288
Daqing,46.589,125.104,China,289
Rome,41.8931,12.4828,Italy,290
Kaohsiung,22.615,120.2975,Taiwan,291
Brooklyn,40.6501,-73.9496,United States,292
Xiangtan,27.8313,112.9454,China,293
Bazhou,31.868,106.748,China,294
Handan,36.601,114.487,China,295
Brisbane,-27.4678,153.0281,Australia,296
Jinzhou,41.129,121.148,China,297
Denver,39.762,-104.8758,United States,298
Xinzhou,38.416,112.734,China,299
Nanping,26.6418,118.1774,China,300
Gazipura,23.9234,90.3959,Bangladesh,301
Shanwei,22.7872,115.3756,China,302
Maracaibo,10.6333,-71.6333,Venezuela,303
Chaozhou,23.658,116.622,China,304
Baotou,40.6213,109.9532,China,305
Longyan,25.076,117.017,China,306
Weifang,36.708,119.162,China,307
Huai'an,33.551,119.113,China,308
Zibo,36.8138,118.055,China,309
Attadappa,11.8689,75.3555,India,310
Munich,48.1375,11.575,Germany,311
Gulou,26.0865,119.298,China,312
Birmingham,52.48,-1.9025,United Kingdom,313
Valencia,10.1833,-68,Venezuela,314
Damascus,33.502,36.2981,Syria,315
Chattogram,22.335,91.8325,Bangladesh,316
Brazzaville,-4.2667,15.2667,Congo (Brazzaville),317
Yangjiang,21.857,111.983,China,318
Sanaa,15.3483,44.2064,Yemen,319
Barmhan Kalan,19.1972,72.9722,India,320
Medellin,6.2308,-75.5906,Colombia,321
Dingxi,35.608,104.592,China,322
Shaoxing,30.0511,120.5833,China,323
Yantai,37.4646,121.4478,China,324
Huizhou,23.112,114.416,China,325
Xuanzhou,30.939,118.759,China,326
Mirzapur,25.146,82.569,India,327
Hamburg,53.55,10,Germany,328
Taipei,25.0375,121.5625,Taiwan,329
Ankang,32.6854,109.029,China,330
Zigong,29.339,104.779,China,331
Sanming,26.2634,117.6389,China,332
Toluca,19.2925,-99.6569,Mexico,333
Huangshi,30.2011,115.039,China,334
Yaounde,3.8667,11.5167,Cameroon,335
Zhuhai,22.2742,113.5719,China,336
Huludao,40.711,120.837,China,337
Baoshan,25.112,99.161,China,338
Mecca,21.4225,39.8261,Saudi Arabia,339
Vancouver,49.25,-123.1,Canada,340
Lianshan,40.7523,120.828,China,341
Beirut,33.8981,35.5058,Lebanon,342
Salvador,-12.9831,-38.4928,Brazil,343
Bucharest,44.4325,26.1039,Romania,344
Longba,33.3702,104.9603,China,345
Nagpur,21.1497,79.0806,India,346
Queens,40.7498,-73.7976,United States,347
Tieling,42.2237,123.726,China,348
Yunfu,22.9152,112.0445,China,349
Bekasi,-6.2333,107,Indonesia,350
Daegu,35.8717,128.6017,"Korea, South",351
Ghaziabad,28.67,77.42,India,352
Luoyang,34.6197,112.4539,China,353
Luohe,33.5804,114.0166,China,354
Algiers,36.7325,3.0872,Algeria,355
Anshun,26.2531,105.9476,China,356
Huainan,32.6314,117.0194,China,357
Depok,-6.394,106.8225,Indonesia,358
Konya,37.8667,32.4833,Turkey,359
Haiphong,20.8651,106.6838,Vietnam,360
Yanjiang,30.129,104.627,China,361
Guangyuan,32.436,105.844,China,362
Baku,40.3667,49.8352,Azerbaijan,363
Yingkou,40.625,122.219,China,364
Mudanjiang,44.5514,129.6329,China,365
Riverside,33.9381,-117.3949,United States,366
Fukuoka,33.59,130.4017,Japan,367
Nantong,31.981,120.894,China,368
Lincang,23.884,100.089,China,369
Las Vegas,36.2333,-115.2654,United States,370
Haikou,20.0186,110.3488,China,371
Yuxi,24.347,102.527,China,372
Tangerang,-6.1703,106.6403,Indonesia,373
Supaul,26.126,86.605,India,374
Almaty,43.24,76.915,Kazakhstan,375
Vienna,48.2083,16.3725,Austria,376
Esfahan,32.6653,51.6703,Iran,377
Xining,36.6224,101.7804,China,378
Jincheng,35.491,112.852,China,379
Baltimore,39.3051,-76.6144,United States,380
Dandong,40.1167,124.3833,China,381
Yan'an,36.65,109.494,China,382
Qinbaling,35.7091,107.6436,China,383
Gaoping,30.7824,106.1281,China,384
Awka,6.2069,7.0678,Nigeria,385
Taizhou,28.6557,121.4208,China,386
Ma'anshan,31.669,118.507,China,387
Jiamusi,46.8,130.319,China,388
Perth,-31.9558,115.8597,Australia,389
Gaziantep,37.0628,37.3792,Turkey,390
Phnom Penh,11.5696,104.921,Cambodia,391
St. Louis,38.6359,-90.2451,United States,392
Mogadishu,2.0392,45.3419,Somalia,393
Lishui,28.468,119.923,China,394
Kowloon,22.3167,114.1833,Hong Kong,395
Cordoba,-31.4167,-64.1833,Argentina,396
Zamboanga City,6.9042,122.0761,Philippines,397
Rawalpindi,33.6,73.0333,Pakistan,398
Havana,23.1367,-82.3589,Cuba,399
Chongzuo,22.377,107.365,China,400
Portland,45.5371,-122.65,United States,401
Laibin,23.7501,109.2212,China,402
San Antonio,29.4632,-98.5238,United States,403
Vadodara,22.3,73.2,India,404
Qingyang,24.7816,118.5517,China,405
Rajkot,22.3,70.7833,India,406
Shangzhou,33.8734,109.9186,China,407
Vishakhapatnam,17.7042,83.2978,India,408
Shengli,37.434,118.6746,China,409
Sanmenxia,34.7732,111.2004,China,410
Warsaw,52.23,21.0111,Poland,411
Gujranwala,32.1567,74.19,Pakistan,412
Hezhou,24.4042,111.5672,China,413
Aleppo,36.2319,37.1681,Syria,414
Tijuana,32.525,-117.0333,Mexico,415
Puning,23.298,116.166,China,416
Indore,22.7167,75.8472,India,417
Minsk,53.9006,27.5586,Belarus,418
Karaj,35.8292,50.9675,Iran,419
Kananga,-5.897,22.4488,Congo (Kinshasa),420
Huaibei,33.956,116.798,China,421
Peshawar,34.0144,71.5675,Pakistan,422
Sacramento,38.5677,-121.4685,United States,423
Sapporo,43.0619,141.3544,Japan,424
Tilburg,51.5572,5.0911,Netherlands,425
Austin,30.3005,-97.7522,United States,426
Orlando,28.4773,-81.337,United States,427
Davao,7.07,125.6,Philippines,428
Songjiang,31.0058,121.2333,China,429
Yinchuan,38.485,106.225,China,430
Abhepur,39.41,116.38,India,431
Thane,19.1972,72.9722,India,432
Multan,30.1978,71.4697,Pakistan,433
Port Harcourt,4.8242,7.0336,Nigeria,434
Fushun,41.881,123.957,China,435
Tainan,22.9833,120.1833,Taiwan,436
Pingliang,35.5424,106.6649,China,437
Siping,43.1668,124.3506,China,438
San Juan,18.3985,-66.061,Puerto Rico,439
Pingxiang,27.659,113.887,China,440
Bhopal,23.2599,77.4126,India,441
Mosul,36.3667,43.1167,Iraq,442
Diyarbakir,37.91,40.24,Turkey,443
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),444
Benin City,6.3333,5.6222,Nigeria,445
Curitiba,-25.4297,-49.2719,Brazil,446
San Jose,37.3012,-121.848,United States,447
Shuyangzha,34.1299,118.7734,China,448
Adana,37,35.3213,Turkey,449
Quito,-0.22,-78.5125,Ecuador,450
Agra,27.18,78.02,India,451
Peyanvilai,8.9,77.9833,India,452
Lusaka,-15.4167,28.2833,Zambia,453
Indianapolis,39.7771,-86.1458,United States,454
Hyderabad City,25.3792,68.3683,Pakistan,455
Pimpri-Chinchwad,18.6186,73.8037,India,456
Maracay,10.2469,-67.5961,Venezuela,457
Masqat,23.614,58.5911,Oman,458
Montevideo,-34.9056,-56.1842,Uruguay,459
Pittsburgh,40.4397,-79.9763,United States,460
Cincinnati,39.1413,-84.506,United States,461
Manhattan,40.7834,-73.9662,United States,462
Kansas City,39.1238,-94.5541,United States,463
Budapest,47.4983,19.0408,Hungary,464
Patna,25.594,85.1376,India,465
Kampala,0.3136,32.5811,Uganda,466
Beihai,21.481,109.12,China,467
Sanzhou,30.82,108.4,China,468
Cleveland,41.4764,-81.6805,United States,469
Conakry,9.5092,-13.7122,Guinea,470
Ximeicun,24.9612,118.3849,China,471
Caloocan City,14.65,120.97,Philippines,472
Ecatepec,19.6097,-99.06,Mexico,473
Yushan,31.322,120.985,China,474
Fuxin,42.022,121.67,China,475
Novosibirsk,55.05,82.95,Russia,476
Bilaspur,22.09,82.15,India,477
Semarang,-6.99,110.4225,Indonesia,478
Jingdezhen,29.2917,117.1986,China,479
Ludhiana,30.91,75.85,India,480
Liaoyang,41.279,123.176,China,481
Jiangyin,31.839,120.295,China,482
Valencia,39.47,-0.3764,Spain,483
Shuozhou,39.3317,112.4329,China,484
Leon de los Aldama,21.1167,-101.6833,Mexico,485
Columbus,39.9862,-82.9855,United States,486
Puebla,19.0333,-98.1833,Mexico,487
Bien Hoa,10.95,106.8167,Vietnam,488
Chengtangcun,35.0833,117.15,China,489
Yopougon,5.3748,-4.0867,Côte d’Ivoire,490
Hebi,35.748,114.297,China,491
Shiraz,29.61,52.5425,Iran,492
Dushanbe,38.5367,68.78,Tajikistan,493
Madurai,9.9252,78.1198,India,494
Huzhou,30.8925,120.0875,China,495
Harare,-17.8292,31.0522,Zimbabwe,496
Tabriz,38.0817,46.2992,Iran,497
Jamshedpur,22.7925,86.1842,India,498
Baicheng,45.62,122.838,China,499
San Jose,9.9325,-84.08,Costa Rica,500
Shaoyang,32.912,119.8526,China,501
San Salvador,13.6989,-89.1914,El Salvador,502
Palembang,-2.9861,104.7556,Indonesia,503
Kawasaki,35.5167,139.7,Japan,504
Kobe,34.69,135.1956,Japan,505
Jiaxing,30.747,120.756,China,506
Zhangjiajie,29.117,110.479,China,507
Baiyin,36.5451,104.1389,China,508
Guiping,23.4,110.0833,China,509
Changshu,31.656,120.753,China,510
Jixi,45.295,130.969,China,511
Xushan,30.1667,121.2333,China,512
Lome,6.1308,1.2153,Togo,513
Niamey,13.515,2.1175,Niger,514
Gwangju,35.1653,126.8486,"Korea, South",515
Recife,-8.0539,-34.8808,Brazil,516
Nasik,19.9975,73.7898,India,517
Abu Dhabi,24.4667,54.3667,United Arab Emirates,518
Onitsha,6.1667,6.7833,Nigeria,519
Amsterdam,52.3728,4.8936,Netherlands,520
Vijayawada,16.5193,80.6305,India,521
Zapopan,20.7167,-103.4,Mexico,522
Daejeon,36.35,127.385,"Korea, South",523
Bronx,40.8501,-73.8662,United States,524
Auckland,-36.8492,174.7653,New Zealand,525
Yekaterinburg,56.8356,60.6128,Russia,526
Wuwei,37.929,102.638,China,527
Jinhua,29.079,119.647,China,528
Kyoto,35.0117,135.7683,Japan,529
Pizhou,34.398,117.89,China,530
Yangshe,31.8767,120.556,China,531
Dakar,14.6726,-17.432,Senegal,532
Charlotte,35.2083,-80.8303,United States,533
Yucheng,30.01,103.0415,China,534
Kayseri,38.7225,35.4875,Turkey,535
Virginia Beach,36.7335,-76.0435,United States,536
Rui'an,27.7833,120.625,China,537
Muscat,23.6139,58.5922,Oman,538
Kharkiv,49.9925,36.2311,Ukraine,539
Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),540
Medina,24.47,39.61,Saudi Arabia,541
Sangereng,-6.2889,106.7181,Indonesia,542
Faridabad,28.4211,77.3078,India,543
Sofia,42.6979,23.3217,Bulgaria,544
Ulaanbaatar,47.9214,106.9055,Mongolia,545
Adelaide,-34.9275,138.6,Australia,546
Prague,50.0875,14.4214,Czechia,547
Wenling,28.3667,121.3667,China,548
Copenhagen,55.6805,12.5615,Denmark,549
Najafgarh,28.6125,76.9847,India,550
Lianjiang,21.7333,110.2833,China,551
Helsinki,60.1708,24.9375,Finland,552
Samsun,41.2903,36.3336,Turkey,553
Milan,45.4669,9.19,Italy,554
Antalya,36.8874,30.7075,Turkey,555
Santiago,19.4572,-70.6889,Dominican Republic,556
Chizhou,30.6654,117.4916,China,557
Makassar,-5.1331,119.4136,Indonesia,558
Porto Alegre,-30.0328,-51.23,Brazil,559
Huangshan,29.7149,118.3376,China,560
Gaozhou,21.9244,110.8422,China,561
Barranquilla,10.9833,-74.8019,Colombia,562
Al Basrah,30.515,47.81,Iraq,563
Benxi,41.3039,123.7649,China,564
Saitama,35.8614,139.6456,Japan,565
Ahvaz,31.3047,48.6783,Iran,566
Guarulhos,-23.4667,-46.5333,Brazil,567
Leizhou,20.9143,110.0967,China,568
Juarez,31.745,-106.485,Mexico,569
Mandalay,21.9831,96.0844,Burma,570
Yangquan,37.8571,113.5804,China,571
Fuqing,25.7167,119.3833,China,572
Xintai,35.909,117.768,China,573
Wusong,30.945,117.811,China,574
Tongling,30.9456,117.8114,China,575
Calgary,51.05,-114.0667,Canada,576
Meerut,28.98,77.71,India,577
Jacksonville,30.3322,-81.6749,United States,578
Kuaidamao,41.7283,125.9397,China,579
Huazhou,21.664,110.6396,China,580
Milwaukee,43.0642,-87.9675,United States,581
Wuzhong,37.9978,106.1986,China,582
Belem,-1.4558,-48.5039,Brazil,583
Cacuaco,-8.8053,13.2444,Angola,584
Rosario,-32.9575,-60.6394,Argentina,585
Tangier,35.7767,-5.8039,Morocco,586
Antananarivo,-18.91,47.525,Madagascar,587
Canagatan,18,121.8,Philippines,588
Soweto,-26.2678,27.8585,South Africa,589
Providence,41.823,-71.4187,United States,590
Xiantao,30.328,113.443,China,591
Jabalpur,23.1667,79.9333,India,592
Huaiyin,33.5819,119.028,China,593
Yutan,28.278,112.552,China,594
Kazan,55.7964,49.1089,Russia,595
Bagam,1.13,104.0531,Indonesia,596
Dayan,26.8552,100.2259,China,597
Comayaguela,14.098,-87.21,Honduras,598
Brussels,50.8467,4.3525,Belgium,599
Laiwu,36.1833,117.6667,China,600
Huazhou,32.688,112.087,China,601
Sharjah,25.3575,55.3908,United Arab Emirates,602
Kalyan,19.24,73.13,India,603
Rucheng,32.246,120.591,China,604
Barquisimeto,10.0636,-69.3347,Venezuela,605
Yongcheng,33.9299,116.45,China,606
Sumedang,-6.84,107.9208,Indonesia,607
Can Tho,10.0333,105.7833,Vietnam,608
Suwon,37.2667,127.0167,"Korea, South",609
Yiwu,29.3069,120.0753,China,610
Vasai-Virar,19.47,72.8,India,611
Campinas,-22.9009,-47.0573,Brazil,612
Dadukou,26.5824,101.7184,China,613
Lingcheng,22.708,110.354,China,614
Shuangyashan,46.6762,131.1416,China,615
Nizhniy Novgorod,56.3269,44.0075,Russia,616
Panipat,29.3875,76.97,India,617
Qom,34.64,50.8764,Iran,618
Mombasa,-4.05,39.6667,Kenya,619
Hargeysa,9.56,44.065,Somalia,620
Baidoa,3.1167,43.65,Somalia,621
Varanasi,25.3189,83.0128,India,622
Hiroshima,34.3914,132.4519,Japan,623
Chiang Mai,18.7953,98.9986,Thailand,624
Belgrade,44.8178,20.4569,Serbia,625
Maiduguri,11.8372,13.1542,Nigeria,626
Kalleli,9.2807,76.8697,India,627
Batam Centre,1.1272,104.0556,Indonesia,628
Pingdu,36.7769,119.9884,China,629
Rongcheng,26.218,104.103,China,630
Mbandaka,0.0478,18.2558,Congo (Kinshasa),631
Xinyu,27.8186,114.9167,China,632
Doha,25.2867,51.5333,Qatar,633
Shymkent,42.3167,69.5958,Kazakhstan,634
Tripoli,32.8872,13.1914,Libya,635
Srinagar,34.09,74.79,India,636
Nashville,36.1715,-86.7842,United States,637
Chelyabinsk,55.1547,61.3758,Russia,638
Aurangabad,19.88,75.32,India,639
Cilacap,-7.7167,109.017,Indonesia,640
Xinhualu,34.3964,113.7402,China,641
Salt Lake City,40.7776,-111.9311,United States,642
Guankou,28.1637,113.6433,China,643
Bandar Lampung,-5.45,105.2667,Indonesia,644
Dhanbad,23.7998,86.4305,India,645
Nay Pyi Taw,19.7475,96.115,Burma,646
Aba,5.1167,7.3667,Nigeria,647
Jingling,30.664,113.167,China,648
Zhuji,29.7167,120.2333,China,649
Tegucigalpa,14.1057,-87.204,Honduras,650
Kigali,-1.9536,30.0606,Rwanda,651
Samara,53.2028,50.1408,Russia,652
Yingtan,28.2721,117.0395,China,653
Edmonton,53.5344,-113.4903,Canada,654
Raleigh,35.8324,-78.6429,United States,655
Bishkek,42.8667,74.5667,Kyrgyzstan,656
Bujumbura,-3.3833,29.3667,Burundi,657
Guyuan,36.01,106.257,China,658
Leiyang,26.4223,112.8598,China,659
Krasnodar,45.0333,38.9667,Russia,660
Rostov,47.2225,39.71,Russia,661
